staus,Partner,Last Created,Partner Total Count,Last Created Count,Not inserted count,Past Events Count,Duplicates,Venue not found,Source File,dropbox path,Frequency,Server,Reason,Path,Api link,status,type,Crawl,check fuzzy not match,check code,
,active,2026-07-25 3:48:27,3155,1779,35,,,,/var/www/html/admin/administrator/components/com_events_venue/activeEvents/insertEvents-active.php ,https://www.dropbox.com/scl/fi/f0ukiud8hccvw9q4x4wk6/active.xlsx?rlkey=tzitwxf5oihdnhigg6qnys9m7&st=gdqdz1l6&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/activeEvents/insertEvents-active.php,,,,done,,,
,adticket,2026-07-26 21:52:50,39767,8782,19529,,,,/var/www/html/admin/administrator/components/com_events_venue/adticket/feed_csv/events_details_2025-09-13.csv,https://www.dropbox.com/scl/fi/geck1uljv7yfa7jbmsw60/adticket.xlsx?rlkey=ij478ybpzntwd96388x6sjxxa&st=c528pkd9&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/adticket/insertEvents-adticket.php,,,,no,,no issue,
,Ai_artist_events,2025-06-15 0:01:01,1791,1,,,,,,,Manual (provide by Devendra),,,,,,,no,,,
,artshound,2021-07-20 4:54:48,9,8,,,,,,,weekly,3.94.49.56,need to check,/home/fcampbell/eventPartner_174/artshound/insertEventsArtshound.php,,,,,,,
,AI-festival,2025-04-21 0:01:01,1988,1,,,,,,,Manual (provide by Mayur) one time insert,,,,,,,no,,,
,axs,2026-07-23 5:31:36,940,41,20,,,,,https://www.dropbox.com/scl/fi/89p9klb0ipslcqiqq5rlj/axs.xlsx?rlkey=g94mr372oyhddxpamim0fd2x9&st=4gzln7t9&dl=0,Mannual (provide by partner every week monday),44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/axs/insertEvent-axs.php,,,feed,no,,,
,biletix,2026-07-11 12:29:30,310,154,0,,,,/var/www/html/admin/administrator/components/com_events_venue/biletix/index.php,https://www.dropbox.com/scl/fi/nhs6z9p8q9hatftcwigfc/biletix.xlsx?rlkey=1zdgmn6rdetakfjg2yiajyk69&st=fvhd80w9&dl=0,Alternate weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/biletix/index.php,,,scraping,done,,,
,booketing,2026-07-25 2:12:42,2988,848,298,,,,/var/www/html/admin/administrator/components/com_events_venue/booketing/CSV/Booketing_event.csv,https://www.dropbox.com/scl/fi/5imj0nn4igo2f0z4spigy/booketing.xlsx?rlkey=tngph5anop28a1us1y610fjbl&st=0ganxzbw&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/booketing/insertEvent.php,,,feed,done,,,
No new feed,brownpaper,2026-05-05 6:36:33,50,2,23,,,,/home/fcampbell/eventPartner_174/brownpaper/xml,https://www.dropbox.com/scl/fi/n5hmcju933b7vgij27y76/brownpaper.xlsx?rlkey=non5qc0xqlqhvdxwd3dt33pi3&st=zf6xqehe&dl=0,Daily,3.94.49.56,,/home/fcampbell/eventPartner_174/brownpaper/insertEvents-brownpaper.php,,,feed,no,,,
,bw,2026-07-29 1:01:01,10149,584,,,,,,,New Partner Need to add in details file,,,,,no upload on dropbox,,no,,,
,calendar-artsboston,2026-07-25 0:28:26,270,238,1960,,,,/home/fcampbell/eventPartner_174/calendar_artsboston/insertCalendarArtsBoston.php,https://www.dropbox.com/scl/fi/f5kk2xlv1try80h2l0bi4/calendar-artsboston.xlsx?rlkey=setb8opr4ho7scjagl8tlcgx1&st=artu8vgn&dl=0,weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/calendar_artsboston/insertCalendarArtsBoston.php,,,scraping,done,,,
